Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months,Primary_Institute,Funding_Start,title_keywords,patents,companies,companies_count,company_position,Name,
"Brooks, David",University Health Network (Toronto),Ontario,Project Grant,202203PJT,Immunology & Transplantation,Mechanisms of IRF2-driven immune regulation in the tumor microenvironment,"$1,118,814 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2022/10/01,"IRF2, immune regulation, tumor microenvironment",0,zN/A,0,zN/A,"Brooks, David",
"Brooks, David",University Health Network (Toronto),Ontario,Project Grant,202304PJT,Immunology,Type I interferon mediated regulation of chronic virus infection,"$100,000 ",$0 ,1 yr 0 mth ,Infection and Immunity,2023/10/01,"interferon, virus, infection",0,zN/A,0,zN/A,"Brooks, David",
"Brooks, David",University Health Network (Toronto),Ontario,Project Grant,202309PJT,Immunology,Type I interferon mediated regulation of chronic virus infection,"$1,235,475 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2024/04/01,"interferon, virus, infection",1,zN/A,0,zN/A,"Brooks, David",
"Brooks, Dina",University of Toronto,Ontario,Operating Grant,201303MOP,Respiratory System,Randomized controlled trial of a community-based exercise program for preventing functional decline among individuals with chronic obstructive pulmonary disease,"$214,467 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2013/10/01,"exercise, pulmonary disease, functional decline",0,zN/A,0,zN/A,"Brooks, Dina",
"Brooks, Steven C","Queen's University (Kingston, Ontario)",Ontario,Partnerships for Health System Improvement (PHSI),201510PHE,Partnerships for Health System Improvement,Evaluating the PulsePoint Mobile Device Application to Increase Bystander Resuscitation for Victims of Sudden Cardiac Arrest,"$375,000 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,6/1/2016,"PulsePoint, Mobile Device, Resuscitation",0,zN/A,0,zN/A,"Brooks, Steven C",
"Brooks, Steven C","Queen's University (Kingston, Ontario)",Ontario,Operating Grant: Emerging COVID-19 Research Gaps and Priorities - Vaccines,202104GA2,Operating Grant: Emerging COVID-19 Research Gaps and Priorities - Vaccines,Canadian COVID-19 Emergency Department Rapid Response Network: Determining Real-World Vaccine Effectiveness and Duration of Protection Against Variants of Concern,"$496,134 ",$0 ,1 yr 0 mth ,Infection and Immunity,6/1/2021,"COVID-19, Vaccine, Effectiveness",0,zN/A,0,zN/A,"Brooks, Steven C",
"Brophy, James M",McGill University,Quebec,Operating Grant,200810MOP,Cardiovascular System - B: Heart and Circulation,Can genetic polymorphisms explain the cardiovascular risk of nonsteroidal anti-inflammatory drugs?,"$100,000 ",$0 ,1 yr 0 mth ,Circulatory and Respiratory Health,2009/03/01,"genetic polymorphisms, cardiovascular, nonsteroidal anti-inflammatory drugs",0,zN/A,0,zN/A,"Brophy, James M",
"Brophy, James M",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201209MOP,"Public, Community & Population Health",Comparative effectiveness research for the drug treatment of atrial fibrillation.,"$141,548 ",$0 ,2 yrs 0 mth ,Population and Public Health,2013/04/01,"atrial fibrillation, effectiveness research, drug",0,zN/A,0,zN/A,"Brophy, James M",
"Brophy, James M",Research Institute of the McGill University Health Centre,Quebec,Project Grant,201709PJT,"Public, Community & Population Health 2",Ticagrelor compared to clopidogrel in acute coronary syndromes - the TC4 comparative effectiveness study,"$309,825 ",$0 ,3 yrs 0 mth ,Circulatory and Respiratory Health,2018/04/01,"Ticagrelor, clopidogrel, coronary syndromes",0,zN/A,0,zN/A,"Brophy, James M",
"Brophy, Jason C",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant,201710PJT,Virology & Viral Pathogenesis 2,Relative benefits and cost effectiveness of universal newborn screening for cytomegalovirus by saliva versus dried blood spot PCR,"$100,000 ",$0 ,1 yr 0 mth ,Infection and Immunity,2018/03/01,"cytomegalovirus, newborn screening, PCR",0,zN/A,0,zN/A,"Brophy, Jason C",
"Brophy, Jason C",Children's Hospital of Eastern Ontario Research Institute Inc,Ontario,Project Grant,202104PJT,Virology & Viral Pathogenesis,Congenital CMV ANd HEARing in Ontario: Optimizing Screening to Improve Child Health Outcomes (CAN HEAR ONTARIO),"$950,896 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2021/10/01,"CMV, screening, hearing",0,zN/A,0,zN/A,"Brophy, Jason C",
"Brosnan, John (Sean) T",Memorial University of Newfoundland,Newfoundland and Labrador,Operating Grant,200903MOP,"Nutrition, Food & Health",Neonatal and Maternal Creatine Synthesis,"$511,896 ",$0 ,4 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2009/10/01,"Neonatal, Maternal, Creatine",0,zN/A,0,zN/A,"Brosnan, John (Sean) T",
"Brosnan, John (Sean) T",Memorial University of Newfoundland,Newfoundland and Labrador,Operating Grant,201503MOP,"Nutrition, Food & Health",Formate: key to fetal one-carbon metabolism,"$727,305 ",$0 ,5 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",2015/10/01,"formate, fetal, metabolism",0,zN/A,0,zN/A,"Brosnan, John (Sean) T",
"Brossard-Racine, Marie",Research Institute of the McGill University Health Centre,Quebec,"Operating Grant: ECI grants in Maternal, Reproductive, Child & Youth Health",201705MRC,"Operating Grant: New Investigator Grants in Maternal, Reproductive, Child & Youth Health",One year of brain maturation following a preterm birth,"$75,000 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",10/1/2017,"brain maturation, preterm birth",0,zN/A,0,zN/A,"Brossard-Racine, Marie",
"Brossard-Racine, Marie",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202203PJT,Social & Developmental Aspects of Children's & Youth's Health,The long-term consequences of neonatal encephalopathy in the era of therapeutic hypothermia: Identifying child and brain developmental profiles at 9 years of age.,"$1,082,476 ",$0 ,5 yrs 0 mth ,"Human Development, Child and Youth Health",2022/10/01,"neonatal encephalopathy, hypothermia, brain development",0,zN/A,0,zN/A,"Brossard-Racine, Marie",
"Brotto, Lori Anne",University of British Columbia,British Columbia,Catalyst Grant: Biomedical & Clinical Approaches to Improving Quality of Life,200903SUR,Catalyst Grant: Biomedical & Clinical Approaches to Improving Quality of Life,Online psychoeducational treatment for sexual dysfunction in cancer survivors,"$100,000 ",$0 ,1 yr 0 mth ,Cancer Research,3/1/2010,"psychoeducational, sexual dysfunction, cancer survivors",0,zN/A,0,zN/A,"Brotto, Lori Anne",
"Brotto, Lori Anne",University of British Columbia,British Columbia,Operating Grant,201203MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Integrated Mindfulness-based Cognitive Behaviour Therapy versus Cognitive Behaviour Therapy for Provoked Vestibulodynia,"$321,980 ",$0 ,3 yrs 0 mth ,Gender and Health,2012/10/01,"Mindfulness, Cognitive Behaviour, Vestibulodynia",0,zN/A,0,zN/A,"Brotto, Lori Anne",
"Brotto, Lori Anne",University of British Columbia,British Columbia,Operating Grant,201403MOP,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Randomized comparison of mindfulness versus group support for treatment of low sexual desire in women,"$462,340 ",$0 ,5 yrs 0 mth ,Gender and Health,2014/10/01,"mindfulness, support, sexual desire",0,zN/A,0,zN/A,"Brotto, Lori Anne",
"Brotto, Lori Anne",University of British Columbia,British Columbia,Project Grant,202003PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health 2",Pilot RCT for cognitive-behavioural & mindfulness-based online programs for female sexual dysfunction,"$229,500 ",$0 ,3 yrs 0 mth ,Gender and Health,2020/10/01,"cognitive-behavioural, mindfulness, sexual dysfunction",0,zN/A,0,zN/A,"Brotto, Lori Anne",
"Brotto, Lori Anne",University of British Columbia,British Columbia,Project Grant,202303PJT,"Psychosocial, Sociocultural & Behavioural Determinants of Health",Virtual Reality Exposure for Vaginismus: A Replicated Single-Case Design,"$267,750 ",$0 ,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2023/10/01,"Virtual Reality, Exposure, Vaginismus",0,zN/A,0,zN/A,"Brotto, Lori Anne",
"Brouhard, Gary J",McGill University,Quebec,Operating Grant,200910MOP,Biochemistry & Molecular Biology - B,Single-Molecule Studies of Cell Cycle Regulation: Microtubules as Enzyme Scaffolds in Mitosis,"$100,000 ",$0 ,1 yr 0 mth ,Cancer Research,2010/03/01,"Single-Molecule, Microtubules, Mitosis",0,zN/A,0,zN/A,"Brouhard, Gary J",
"Brouhard, Gary J",McGill University,Quebec,Operating Grant,201009MOP,Cell Physiology,Control of Microtubule Architecture by Doublecortin,"$682,645 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2011/04/01,"Microtubule, Doublecortin, Architecture",0,zN/A,0,zN/A,"Brouhard, Gary J",
"Brouhard, Gary J",McGill University,Quebec,Operating Grant,201403MOP,Cell Physiology,The Cell Biology and Biochemistry of Microtubule Nucleation,"$757,164 ",$0 ,5 yrs 0 mth ,Genetics,2014/10/01,"Microtubule, Nucleation, Cell Biology",0,zN/A,0,zN/A,"Brouhard, Gary J",
"Brouhard, Gary J",McGill University,Quebec,Project Grant,202109PJT,Cell Biology - Molecular/Fundamental,The Doublecortin Family in Development and Disease,"$960,075 ",$0 ,5 yrs 0 mth ,Genetics,2022/04/01,"Doublecortin, Development, Disease",0,zN/A,0,zN/A,"Brouhard, Gary J",
"Brouillette, Jonathan",CIUSSS du Nord-de-l'Ile-de Montreal - Hepital Sacre Coeur,Quebec,Project Grant,202003PJT,Biological and Clinical Aspects of Aging,The impact of amyloid-induced neurodegeneration on sleep features and memory processes,"$619,650 ",$0 ,5 yrs 0 mth ,Aging,2020/10/01,"amyloid, neurodegeneration, sleep",0,zN/A,0,zN/A,"Brouillette, Jonathan",
"Brown, Arthur",Western University (Ontario),Ontario,Operating Grant,201309MOP,Molecular & Cellular Neurosciences - B,Investigating the role of SOX9 in recovery from spinal cord injury,"$655,672 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2014/04/01,"SOX9, spinal cord injury, recovery",0,zN/A,0,zN/A,"Brown, Arthur",
"Brown, Arthur",Western University (Ontario),Ontario,Project Grant,201903PJT,Behavioural Sciences - A: Neurobiological Basis of Behavioural Processes,Evaluating inhibitors of CSPG synthesis in models of spinal cord injury,"$986,850 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2019/10/01,"CSPG, inhibitors, spinal cord injury",1,zN/A,0,zN/A,"Brown, Arthur",
"Brown, Carolyn J",University of British Columbia,British Columbia,Operating Grant,201109MOP,Genomics: Systems and computational biology,Functional Characterization of Genomic DNA Elements Regulating Epigenetic Silencing,"$767,891 ",$0 ,5 yrs 0 mth ,Genetics,2012/04/01,"Genomic DNA, Epigenetic, Silencing",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Carolyn J",University of British Columbia,British Columbia,Operating Grant,201109MOP,Genomics: Systems and computational biology,Functional Characterization of Genomic DNA Elements Regulating Epigenetic Silencing,"$767,891 ",$0 ,5 yrs 0 mth ,Genetics,2012/04/01,"Genomic DNA, Epigenetic, Silencing",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Carolyn J",University of British Columbia,British Columbia,Operating Grant,201203MOP,Genetics,The Role of XIST in Human X-Chromosome Inactivation,"$763,376 ",$0 ,5 yrs 0 mth ,Genetics,2012/10/01,"XIST, X-Chromosome, Inactivation",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Carolyn J",University of British Columbia,British Columbia,Project Grant,201709PJT,Genetics,Role of XIST in human X-chromosome inactivation,"$963,900 ",$0 ,5 yrs 0 mth ,Genetics,2018/04/01,"XIST, X-chromosome, inactivation",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Carolyn J",University of British Columbia,British Columbia,Project Grant,201809PJT,Genetics,Functional characterization of genomic DNA elements regulating epigenetic silencing,"$971,550 ",$0 ,5 yrs 0 mth ,Genetics,2019/04/01,"genomic DNA, epigenetic, silencing",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Carolyn J",University of British Columbia,British Columbia,Project Grant,201809PJT,Genetics,Functional characterization of genomic DNA elements regulating epigenetic silencing,"$971,550 ",$0 ,5 yrs 0 mth ,Genetics,2019/04/01,"genomic DNA, epigenetic, silencing",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Carolyn J",University of British Columbia,British Columbia,Project Grant,202209PJT,Genetics,Role of XIST in human X-chromosome inactivation and health,"$864,450 ",$0 ,5 yrs 0 mth ,Genetics,2023/04/01,"XIST, X-chromosome inactivation, human",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Carolyn J",University of British Columbia,British Columbia,Project Grant,202309PJT,Genetics,Functional characterization of genomic DNA elements regulating epigenetic silencing,"$1,250,775 ",$0 ,5 yrs 0 mth ,Genetics,2024/04/01,"genomic DNA, epigenetic, silencing",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Carolyn J",University of British Columbia,British Columbia,Project Grant,202309PJT,Genetics,Functional characterization of genomic DNA elements regulating epigenetic silencing,"$1,250,775 ",$0 ,5 yrs 0 mth ,Genetics,2024/04/01,"genomic DNA, epigenetic, silencing",0,zN/A,0,zN/A,"Brown, Carolyn J",
"Brown, Craig E",University of Victoria (British Columbia),British Columbia,Operating Grant,200909MOP,Systems & Circuits Neurosciences - A,Imaging the impact of diabetes on brain function and recovery from stroke,"$356,511 ",$0 ,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2010/04/01,"imaging, diabetes, brain function",0,zN/A,0,zN/A,"Brown, Craig E",
"Brown, Craig E",University of Victoria (British Columbia),British Columbia,Operating Grant,201209MOP,Systems & Circuits Neurosciences - A,Impact of diabetes on brain function and recovery from ischemic stroke,"$623,900 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2013/04/01,"diabetes, brain function, ischemic stroke",0,zN/A,0,zN/A,"Brown, Craig E",
"Brown, Craig E",University of Victoria (British Columbia),British Columbia,Project Grant,202104PJT,Systems & Circuits Neurosciences - A,Preserving microcirculation and function in the diabetic brain,"$1,025,100 ",$0 ,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",2021/10/01,"microcirculation, diabetic, brain",0,zN/A,0,zN/A,"Brown, Craig E",
"Brown, Eric D",McMaster University,Ontario,Operating Grant,200903MOP,Genomics: Systems and computational biology,Chemical genomic investigations in Escherichia coli,"$738,790 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2009/10/01,"chemical, genomic, Escherichia coli",3,zN/A,0,zN/A,"Brown, Eric D",
"Brown, Eric D",McMaster University,Ontario,Operating Grant,200909MOP,Microbiology & Infectious Diseases,Biochemistry and genetics of wall teichoic biogenesis,"$741,750 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2010/04/01,"biochemistry, genetics, wall teichoic biogenesis",0,zN/A,0,zN/A,"Brown, Eric D",
"Brown, Eric D",McMaster University,Ontario,Operating Grant,201403MOP,Genomics: Systems and computational biology,Chemical Genomics: New Probes of Bacterial Metabolism.,"$1,081,456 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2014/10/01,"Chemical, Genomics, Bacterial",4,zN/A,0,zN/A,"Brown, Eric D",
"Brown, Eric D",McMaster University,Ontario,Project Grant,202203PJT,Genomics: Systems and computational biology,Chemical genomics for the identification of new probes of bacterial cell systems.,"$956,250 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2022/10/01,"chemical genomics, bacterial, probes",0,zN/A,0,zN/A,"Brown, Eric D",
"Brown, Eric D",McMaster University,Ontario,Project Grant,202209PJT,Microbiology & Infectious Diseases,Understanding and harnessing bacterial membrane potential in antibiotic action,"$891,225 ",$0 ,5 yrs 0 mth ,Infection and Immunity,2023/04/01,"bacterial membrane, potential, antibiotic",2,zN/A,0,zN/A,"Brown, Eric D",
"Brown, Grant W",University of Toronto,Ontario,Operating Grant,200809MOP,Biochemistry & Molecular Biology - B,Regulation of DNA replication,"$623,515 ",$0 ,5 yrs 0 mth ,Cancer Research,2009/04/01,"DNA replication, regulation",0,zN/A,0,zN/A,"Brown, Grant W",
"Brown, Grant W",University of Toronto,Ontario,Operating Grant,201309MOP,Biochemistry & Molecular Biology - B,Mechanisms of Genome Instability,"$947,528 ",$0 ,5 yrs 0 mth ,Cancer Research,2014/04/01,"Genome, Instability",0,zN/A,0,zN/A,"Brown, Grant W",
"Brown, Grant W",University of Toronto,Ontario,Operating Grant,201403MOP,Genetics,The role of mRNA processing bodies in genome stability,"$823,600 ",$0 ,5 yrs 0 mth ,Genetics,2014/10/01,"mRNA, processing bodies, genome stability",0,zN/A,0,zN/A,"Brown, Grant W",
"Brown, Hilary",University of Toronto,Ontario,Project Grant,202003PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Traumatic Brain Injury and Perinatal Mental Health Outcomes,"$275,400 ",$0 ,3 yrs 0 mth ,"Human Development, Child and Youth Health",2020/10/01,"Brain injury, mental health, perinatal",0,zN/A,0,zN/A,"Brown, Hilary",
"Brown, Kelly L",University of British Columbia,British Columbia,Project Grant,202109PJT,Clinical Investigation - D: Cardiovascular Systems,Evaluating the utility of adult-defined prognostic biomarkers: Are they appropriate in childhood onset primary chronic vasculitis?,"$290,700 ",$0 ,2 yrs 0 mth ,"Human Development, Child and Youth Health",2022/04/01,"biomarkers, vasculitis, prognosis",0,zN/A,0,zN/A,"Brown, Kelly L",
"Brown, Theodore J",Sinai Health System (Toronto),Ontario,Operating Grant,200809MOP,Endocrinology,Androgen Modulation of TGF-beta in Ovarian Cancer Cells,"$598,992 ",$0 ,4 yrs 0 mth ,Cancer Research,2009/04/01,"Androgen, TGF-beta, Ovarian Cancer",0,zN/A,0,zN/A,"Brown, Theodore J",
"Brown, Theodore J",Sinai Health System (Toronto),Ontario,Operating Grant,201003MOP,Endocrinology,Sustained ovulation-associated inflammatory signaling in fallopian tube epithelium as a predisposing factor of serous carcinoma,"$435,884 ",$0 ,3 yrs 0 mth ,Cancer Research,2010/10/01,"ovulation, inflammation, fallopian tube",0,zN/A,0,zN/A,"Brown, Theodore J",
"Brown, Theodore J",Sinai Health System (Toronto),Ontario,Operating Grant,201303MOP,Endocrinology,Sustained ovulation-associated inflammatory signaling in fallopian tube epithelium as a predisposing factor of serous carcinoma,"$483,754 ",$0 ,3 yrs 0 mth ,Cancer Research,2013/10/01,"ovulation, inflammation, fallopian tube",0,zN/A,0,zN/A,"Brown, Theodore J",
