Project_Title,NIH_Spending_Categorization,Public_Health_Relevance,Administering_IC,Project_Number,Type,Activity,IC,Support_Year,Suffix,Project_Start_Date,Project_End_Date,Study_Section,Subproject_Number,Name,Other_PI_or_Project_Leaders,Congressional_District,Primary_Institute,Instition_Paid,Province,Organization_Type,ARRA_Indicator,Funding_Start_Date,Budget_End_Date,Post_Award_Action_Type,CFDA_Code,Funding_Mechanism,Fiscal_Year,Total_Cost,Total_Cost_Sub_Projects,Funding_IC,Direct_Cost_IC,Indirect_Cost_IC,NIH_COVID_19_Response,Total_Cost_IC,title_keywords,patents,companies,companies_count
Minding the gap: a multidisciplinary approach to reducing maternal health disparities in Georgia,Basic Behavioral and Social Science; Behavioral and Social Science; Cardiovascular; Clinical Research; Clinical Trials and Supportive Activities; Contraception/Reproduction; Health Disparities; Health Services; Maternal Health; Maternal Morbidity and Mortality; Minority Health; Pregnancy; Prevention; Social Determinants of Health; Women's Health,"PROJECT NARRATIVE
Racial disparities in maternal health in Georgia are stark and in need of systematic review, analysis, and
intervention. This study will combine a statewide assessment of racial disparities in adverse maternal health
outcomes with an evaluation of Georgiaes Medicaid Inter-pregnancy Care Program and a randomized trial of a
comprehensive postpartum care system in an urban safety-net hospital. By studying the complex array of
individual, health care system, community, and societal level factors that culminate in womenes lack of access
we will fill critical gaps in knowledge regarding policy and health system approaches for reducing disparities in
maternal morbidity and mortality.",NIMHD,1R01MD016031-01,1,R01,MD,1,,2020-09-14,2026-04-30,Special Emphasis Panel[ZMD1 DRI (A2)],,"JAMIESON, DENISE JEAN","ADAMS, ESTHER KATHLEEN",5,OBSTETRICS & GYNECOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2020-09-14,2026-04-30,,307.0,Non-SBIR/STTR,2020,4689688.0,,NIMHD,105958.0,283336.0,,389294.0,"maternal health, disparities, Georgia",0,0,0
Novel Insights into Ischemic-Induced Cardiac Remodeling,Biotechnology; Cardiovascular; Heart Disease; Heart Disease - Coronary Heart Disease,"Project Narrative
Despite a great deal of research into the biology of heart failure, we are still without an effective therapeutic
strategy to coincide with the standard means of care. DJ-1 is a cytoprotective protein that is activated in
response to stress. Here, we will test the central hypothesis that through its actions DJ-1 attenuates the
development of heart failure.",NHLBI,1R01HL136915-01A1,1,R01,HL,1,A1,2018-01-15,2022-10-31,"Cardiac Contractility, Hypertrophy, and Failure Study Section[CCHF]",,"CALVERT, JOHN WINTER","LI, LIAN ",5,SURGERY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2018-01-15,2022-10-31,,837.0,Non-SBIR/STTR,2018,1773249.0,,NHLBI,250000.0,140000.0,,390000.0,"Ischemic, Cardiac, Remodeling",0,0,0
Prevention Epicenter of Emory and Atlanta Consortium Hospitals (PEACH),No NIH Category available,"PUBLIC HEALTH RELEVANCE:  Our purpose is to translate microbiologic, epidemiologic and technologic discoveries into new strategies for preventing healthcare-associated transmission of Ebola and infectious pathogens that can be spread by mechanisms similar to Ebola. We include proposals that 1) assess how effectively healthcare workers use personal protective equipment against such pathogens, 2) result in solutions to reduce healthcare worker self-contamination with pathogens and 3) strategies improve hand hygiene compliance to prevent the transmission of infectious pathogens.   
      

",NCEZID,1U54CK000453-01,1,U54,CK,1,,2015-09-30,2018-09-29,Special Emphasis Panel[ZCK1 GCA (33)],,"JACOB, JESSE THOMAS",Not Applicable,5,INTERNAL MEDICINE/MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2015-09-30,2018-09-29,,823.0,Research Centers,2015,2227857.0,,NCEZID,1903357.0,295362.0,,2198719.0,"Prevention, Epicenter, Hospitals",0,0,0
Research on the Scope and Causes of Stillbirth in the US,Clinical Research; Conditions affecting unborn children; Hematology; Human Fetal Tissue; Infant Mortality/ (LBW); Pediatric; Perinatal - Birth - Preterm (LBW); Perinatal Period - Conditions Originating in Perinatal Period,n/a,NICHD,3U10HD045925-05S3,3,U10,HD,5,S3,2003-09-26,2011-07-31,ZHD1-MCHG-B(25),,"HOGUE, CAROL ",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2009-07-01,2011-07-31,,865.0,Other Research-Related,2009,134327.0,,NICHD,104943.0,29384.0,,134327.0,"Stillbirth, causes, US",0,0,0
SAMHD1 mediated dNTP regulation and HIV in myeloid cells,HIV/AIDS; Infectious Diseases,"Health Relevance
HIV-1 infection to non-dividing myeloid cells, such as macrophages and microglia (brain macrophages),
contributes to HIV-1 pathogenesis. Particularly, HIV-1 infected macrophages serve as a key long-living viral
reservoir that persistently produces viral progenies even during the course of intense antiviral therapy. This
application attempts to elucidate novel regulatory circuits of a host defense mechanism executed by a host
restriction factor, SAMHD1, that kinetically delays multiple steps of HIV life cycle in nondividing viral target cell
types, ultimately providing new anti-HIV target strategies that effectively suppress HIV-1 life cycle in non-
dividing myeloid cells that contribute to HIV-1 persistence and neuro-AIDS.",NIAID,1R01AI162633-01,1,R01,AI,1,,2021-05-01,2026-04-30,Special Emphasis Panel[ZRG1 AARR-B (02)],,"KIM, BAEK ",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2021-05-01,2025-04-30,,855.0,Non-SBIR/STTR,2021,1876688.0,,NIAID,250000.0,136718.0,,386718.0,"SAMHD1, dNTP, HIV",0,0,0
Supercoiling in genome topology and transcription,Bioengineering; Genetics; Human Genome,"PROJECT NARRATIVE
DNA supercoiling is an intrinsic and dynamically changing feature of any genome. Understanding how changes
in supercoiling alter genomic architectures and affect function, is essential to improve any successful genome-
targeted, drug-designing effort.",NIGMS,2R01GM084070-10,2,R01,GM,10,,2009-05-01,2022-05-31,Special Emphasis Panel[ZRG1 BCMB-D (02)],,"FINZI, LAURA ",Not Applicable,5,PHYSICS,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2018-06-01,2022-05-31,,859.0,Non-SBIR/STTR,2018,1430543.0,,NIGMS,244000.0,125476.0,,369476.0,"supercoiling, genome, transcription",0,0,0
Adjuvants for Skin Immunization: Discovery and Mechanisms,No NIH Category available,"PUBLIC HEALTH RELEVANCE: Influenza virus is one of the most common respiratory pathogens causing millions of hospitalizations worldwide every year and increased mortality in the high risk groups, young, elderly, chronically ill and pregnant women. This project aims to develop a safe, simple-to administer vaccination approach using microneedle patches encapsulating commercially available influenza vaccine and novel adjuvants to improve vaccine efficacy during a major influenza epidemic or a pandemic and increase protection of the population.   
      

",NIAID,1R01AI111557-01,1,R01,AI,1,,2014-08-05,2020-07-31,Special Emphasis Panel[ZAI1 JRR-M (J4)],,"SKOUNTZOU, IOANNA ",Not Applicable,5,MICROBIOLOGY/IMMUN/VIROLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2014-08-05,2020-07-31,,855.0,Non-SBIR/STTR,2014,3223446.0,,NIAID,577659.0,216662.0,,794321.0,"Adjuvants, Skin, Immunization",4,Sporos Therapeutics Llc,1
Chromatin insulators and nuclear organization,Biotechnology; Genetics; Human Genome,n/a,NIGMS,2R01GM035463-26A1,2,R01,GM,26,A1,1986-04-01,2017-03-31,Molecular Genetics A Study Section[MGA],,"CORCES, VICTOR G.",Not Applicable,5,BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2013-04-01,2017-03-31,,859.0,Non-SBIR/STTR,2013,2333351.0,,NIGMS,373100.0,204736.0,,577836.0,"Chromatin, insulators, nuclear organization",0,0,0
Core B: Single cell and integrative genomics core,Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Human Genome; Immunization; Infectious Diseases; Prevention; Vaccine Related,N/A,NIAID,2U19AI057266-16,2,U19,AI,16,,,,Special Emphasis Panel[ZAI1 PA-I (J1)],7731.0,"BOSINGER, STEVEN EDWARD",Not Applicable,5,Unavailable,EMORY UNIVERSITY,GA,Domestic Higher Education,N,2019-05-01,2021-04-30,,,Non-SBIR/STTR,2019,,259731.0,,288617.0,91928.0,,,"single cell, genomics, integrative",0,0,0
"Impact of HIV, Antiretroviral Therapy and TB Genotype on Survival in MDR TB",Antimicrobial Resistance; Clinical Research; Emerging Infectious Diseases; HIV/AIDS; Infectious Diseases; Rare Diseases; Tuberculosis,"
While MDR TB/HIV co-infection was previously characterized by extremely high mortality, this was before life-
saving antiretroviral therapy was available. This study, to take place in rural South Africa, will examine the
impact of ART on improving survival in MDR TB/HIV co-infection and the complex interactions of MDR TB and
HIV co-treatment. Findings will help improve the health of individuals and communities affected by the MDR TB
epidemic and will create an evidence-base to guide sound clinical practice and public health policy for MDR
TB/HIV disease treatment throughout the developing world.",NIAID,5R01AI087465-04,5,R01,AI,4,,2010-07-01,2017-06-30,AIDS Clinical Studies and Epidemiology Study Section[ACE],,"GANDHI, NEEL RAJNIKANT",Not Applicable,5,PUBLIC HEALTH & PREV MEDICINE,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2013-07-01,2017-06-30,,855.0,Non-SBIR/STTR,2013,2290291.0,,NIAID,587175.0,170115.0,,757290.0,"HIV, Antiretroviral, TB",0,0,0
Molecular determinants of virulent arenavirus infection in hosts,Biodefense; Biotechnology; Emerging Infectious Diseases; Genetics; Immunization; Infectious Diseases; Vaccine Related,"
Project Narrative:
Infection by Lassa fever virus or several other arenaviruses can lead to hemorrhagic fever (HF) diseases in
humans, for which there is no vaccine (with the exception of Junin virus) or effective antiviral treatment. A
related Pichinde virus in the same viral family is non-pathogenic in humans but causes distinct disease
symptoms in guinea pigs that are similar to arenavirus HF in humans. We propose here to study the molecular
mechanisms by which some arenaviruses can cause virulent infections in the hosts. These studies may lead to
the development of effective treatments against the deadly arenavirus HF in humans.",NIAID,1R01AI083409-01A1,1,R01,AI,1,A1,2010-05-01,2015-04-30,Virology - A Study Section[VIRA],,"LIANG, YUYING ",Not Applicable,5,PATHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2010-05-01,2011-12-04,,855.0,Non-SBIR/STTR,2010,863672.0,,NIAID,280000.0,154000.0,,434000.0,"molecular, arenavirus, infection",4,0,0
OXTR Methylation as a Potential Modulator of Intranasal OT Influences in Humans,No NIH Category available,"PUBLIC HEALTH RELEVANCE: There is growing interest in the use of intranasal oxytocin (OT) as a potential treatment for a variety of psychiatric disorders, including autism spectrum disorders (ASD), and preliminary studies show that intranasal OT can indeed alleviate some social cognitive deficits found in ASD individuals. This study will determine if DNA methylation of
the oxytocin receptor gene, which is believed to affect expression of this gene, modulates the effect of intranasal OT on cooperative behavior and associated brain activity in humans subjects immersed in genuine social interactions. In so doing, this research may ultimately allow us to identify individuals who are most likely to benefit from a treatment like intranasal OT.   
      

",NIMH,1R21MH106716-01,1,R21,MH,1,,2014-09-16,2016-08-31,Special Emphasis Panel[ZRG1 PSE-D (50)],,"RILLING, JAMES K",Not Applicable,5,SOCIAL SCIENCES,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2014-09-16,2016-08-31,,242.0,Non-SBIR/STTR,2014,195000.0,,OD,125000.0,70000.0,,195000.0,"OXTR, Methylation, Intranasal OT",0,0,0
Actin Cytoskeleton in Postsynaptic Structure and Function,Mental Health; Neurosciences,"Project Narrative
 Brain connections undergo short- and long-term modifications during developmental refinement of neural
circuits, as well as in learning and memory. The proposed study investigates the actin-based mechanism
underlying the development and modification of chemical synapses. This line of work is directly relevant to
public health since it will contribute to our understanding of brain development and functions under both
physiological and pathological conditions.",NIMH,1R01MH133798-01A1,1,R01,MH,1,A1,2024-06-03,2027-12-31,Neuronal Communications Study Section[NC],,"ZHENG, JAMES Q",Not Applicable,5,ANATOMY/CELL BIOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2024-06-03,2024-12-31,,242.0,Non-SBIR/STTR,2024,588437.0,,NIMH,391547.0,196890.0,,588437.0,"Actin, Cytoskeleton, Postsynaptic",0,0,0
Developments in extension of knowledge through integration of separate episodes,Basic Behavioral and Social Science; Behavioral and Social Science; Clinical Research; Mental Health; Mind and Body; Pediatric," Integration between episodes of learning is a critical means of extending knowledge. It is a process that is crucial for school success as well as for incidental learning yet we know little about the factors that influence it. The proposed research will inform this question and thereby promote understanding of factors that may pose risks for academic failure and poor mental health (including anxiety and depression).  
    

",NICHD,1R01HD067359-01A1,1,R01,HD,1,A1,2012-02-16,2019-01-31,Special Emphasis Panel[ZRG1 BBBP-J (02)],,"BAUER, PATRICIA J.",Not Applicable,5,PSYCHOLOGY,EMORY UNIVERSITY,GA,SCHOOLS OF ARTS AND SCIENCES,N,2012-02-16,2019-01-31,,865.0,Non-SBIR/STTR,2012,1731857.0,,NICHD,207500.0,110701.0,,318201.0,"knowledge, integration, episodes",0,0,0
Human B cell responses to a live attenuated cholera vaccine,Biodefense; Biotechnology; Clinical Research; Digestive Diseases; Emerging Infectious Diseases; Foodborne Illness; Immunization; Infectious Diseases; Orphan Drug; Prevention; Rare Diseases; Vaccine Related,"PROJECT NARRATIVE
Cholera is a severe diarrheal disease that is common in developing countries, and can cause large epidemics,
as recently experienced in Haiti and in Africa. With ever increasing international travel, the likelihood of exposure
of immunologically naeve people is significant in the 69 countries world-wide that are endemic for cholera. A
recently FDA approved and ACIP recommended live attenuated cholera vaccine has shown great protective
efficacy in human challenge studies. However, very little is known about the longevity of protective immunity, or
how protective responses at the mucosal interface are regulated and maintained. The current proposal entails a
detailed analysis of systemic and mucosal B cell responses, at both a cellular and a single cell level, and an
analysis of how migration to the mucosal interface is regulated. Analysis of single cell derived monoclonal
antibodies from both acutely induced plasmablasts, long lived memory B cells, and mucosal plasmacells will
provide an unprecedented insight into the development of antibody-mediated protective immunity by this novel
vaccine.",NIAID,1R01AI137127-01,1,R01,AI,1,,2018-07-01,2025-06-30,Vaccines Against Microbial Diseases Study Section[VMD],,"WRAMMERT, JENS PETER",Not Applicable,5,PEDIATRICS,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2018-07-01,2025-06-30,,855.0,Non-SBIR/STTR,2018,1950000.0,,NIAID,250000.0,140000.0,,390000.0,"B cell, cholera, vaccine",0,0,0
Improving statistical methods for small area estimates of public health indicators and demographic characteristics,Bioengineering; Prevention,"SPATIAL UNCERTAINTY IN SMALL AREA ANAYLSIS FROM SURVEY AND ADMINISTRATIVE DATA
NARRATIVE
Population counts and socioeconomic variables from small geographic areas provide critical information for
geographic studies in public health but often arise from multiple sample-based estimates and with
heterogeneous sources and levels of error. Our research program develops novel statistical approaches to
measure and adjust for multiple sources of local variability providing increased accuracy and reliability in small
area estimates of health risks.",NICHD,1R01HD092580-01A1,1,R01,HD,1,A1,2018-09-13,2023-08-31,Biostatistical Methods and Research Design Study Section[BMRD],,"WALLER, LANCE A",Not Applicable,5,BIOSTATISTICS & OTHER MATH SCI,EMORY UNIVERSITY,GA,SCHOOLS OF PUBLIC HEALTH,N,2018-09-13,2023-08-31,,865.0,Non-SBIR/STTR,2018,1599848.0,,NICHD,454374.0,99266.0,,553640.0,"statistical methods, small area estimates, public health",0,0,0
Individual-specific engagement of cortical resources for standing balance control in aging and post stroke,Aging; Brain Disorders; Cerebrovascular; Clinical Research; Neurosciences; Prevention; Rehabilitation; Stroke,"Project Narrative
Although standing balance control is typically an automatic, involuntary motor function, increasing attention to
balance is common in many older adults and is an important fall risk factor. A major clinical barrier is that this
engagement of brain activity in gait and balance is inferred through indirect behavioral methods, limiting early
detection and targeted intervention approaches. Our proposal provides a novel scientific framework for directly
measuring brain activity during balance tasks to enable mechanistic, personalized, approaches to maintain and
improve balance health in aging as well as the many neurological and musculoskeletal diseases affecting
balance health.",NIA,1R01AG072756-01A1,1,R01,AG,1,A1,2022-06-15,2027-03-31,Special Emphasis Panel[ZRG1 BBBP-J (02)],,"TING, LENA H","BORICH, MICHAEL ROBERT",5,BIOMEDICAL ENGINEERING,EMORY UNIVERSITY,GA,SCHOOLS OF MEDICINE,N,2022-06-15,2025-03-31,,866.0,Non-SBIR/STTR,2022,1750788.0,,NIA,403287.0,207415.0,,610702.0,"cortical resources, balance control, aging",0,0,0
