Name,Institution_Paid,Provinces,Program_Name,Competition_CD,PRC_Name,Project_Title, CIHR_Contribution , CIHR_Equipment , External_Funding ,External_Funding_Partner,Term_Years_Months,Primary_Institute,Research_Categories,Funding_Start,Funding_End,Patents,title_keywords
"Kreindler, David","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Catalyst Grant: eHealth Innovations,201210CEH,e-Health Innovation Partnership Program (eHIPP),Mental Health Telemetry for Self-Management in Major Depression,"$96,207 ", $-   , $-   ,,1 yr 0 mth ,"Neurosciences, Mental Health and Addiction",HEALTH PROMOTION; MENTAL HEALTH,3/1/2013,2014-02-28,0,"Mental Health, Telemetry, Depression"
"Lum, Julian J",University of Victoria (British Columbia),British Columbia,Project Grant,202309PJT,Cancer Biology & Therapeutics,Metabolic Insights into Immune Suppression in Ovarian Cancer,"$1,101,600 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Cancer-Cancer Progression and Metastasis; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",4/1/2024,2029-03-31,0,"Metabolic, Immune Suppression, Ovarian Cancer"
"Minchinton, Andrew I",University of British Columbia,British Columbia,Operating Grant,201309MOP,Cancer Biology & Therapeutics,Metabolic manipulation of hypoxia and radiotherapy response,"$727,090 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL,4/1/2014,2019-03-31,2,"metabolic, hypoxia, radiotherapy"
"Minchinton, Andrew I",University of British Columbia,British Columbia,Project Grant,202109PJT,Cancer Biology & Therapeutics 2,Metabolic manipulation of hypoxia for improved radiotherapy response,"$677,024 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,Cancer-Cancer Drug Development and Therapeutics,4/1/2022,2026-03-31,1,"metabolic manipulation, hypoxia, radiotherapy"
"Spaner, David E","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Operating Grant,200809MOP,Cancer Biology & Therapeutics,Metabolic Regulation of Toll-like Receptor Agonist Therapy in Leukemia,"$380,709 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,LEUKAEMIAS; CANCER THERAPY GENERAL; CANCER; IMMUNOLOGY-TRANSPLANTATION,4/1/2009,2012-03-31,0,"Metabolic, Toll-like Receptor, Leukemia"
"Dennis, James W",Sinai Health System (Toronto),Ontario,Operating Grant,201403MOP,Cancer Progression & Therapeutics 2,Metabolic reprogramming in cancer cells and the hexosamine biosynthesis pathway,"$664,934 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; METABOLISM AND NUTRITION; CANCER; METABOLISM/DIABETES,7/1/2014,2019-06-30,0,"metabolic reprogramming, cancer cells, hexosamine biosynthesis"
"Davenport Huyer, Locke S",Dalhousie University (Nova Scotia),Nova Scotia,Project Grant,202309PJT,Biomedical Engineering,Metabolite-based Immunoregulatory Polymer Surgical Meshes for Pelvic Floor Reconstructive Surgery,"$918,000 ", $-   , $-   ,,5 yrs 0 mth ,Infection and Immunity,"Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",4/1/2024,2029-03-31,1,"Metabolite, Immunoregulatory, Polymer"
"Hampson, David R",University of Toronto,Ontario,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,201103IRO,Industry Partnered Collaborative Research,Metabotropic Glutamate and GABA Receptors in Neuroinflammation,"$193,701 ","$4,785 ", $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",AUTISM; MENTAL DISABILITY; MENTAL HEALTH; DRUG RESEARCH,10/1/2011,2014-09-30,1,"Glutamate, GABA, Receptors"
"Minchinton, Andrew I",University of British Columbia,British Columbia,Operating Grant,201109MOP,Cancer Biology & Therapeutics,Microenvironmental strategies for the optimal utilization of anti-angiogenic drugs combinations,"$662,588 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER,4/1/2012,2016-03-31,0,"microenvironment, anti-angiogenic, drugs"
"Juncker, David",McGill University,Quebec,Project Grant,201803PJT,Biomedical Engineering,Microfiltration of Circulating and Disseminated Tumor Cells in Ovarian Cancer: From Monitoring Therapeutic Response Towards Predicting Disease Outcome,"$382,500 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,"Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation; Methods Development and Modelling-Quantitative Methods Development for Health Research; Cancer-Cancer Progression and Metastasis",10/1/2018,2021-09-30,0,"Microfiltration, Tumor Cells, Ovarian Cancer"
"Ma, Hongshen",University of British Columbia,British Columbia,Operating Grant,201109MOP,Biomedical Engineering,Microfluidic Device to Measure the Deformability of Stored Red Blood Cells,"$318,353 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,BLOOD; BIOPHYSICS,4/1/2012,2015-03-31,0,"microfluidic, deformability, red blood cells"
"Ma, Hongshen",University of British Columbia,British Columbia,Operating Grant - Priority Announcement: Blood Utilization and Conservation,201403BUC,Biomedical Engineering,Microfluidic Devices to Measure the Deformability of Stored Red Blood Cells, $-   , $-   ,"$398,301 ",Canadian Blood Services (Ottawa),3 yrs 0 mth ,Circulatory and Respiratory Health,BLOOD; BIOPHYSICS,10/1/2014,2017-09-30,1,"microfluidic, deformability, red blood cells"
"Ma, Hongshen",University of British Columbia,British Columbia,Operating Grant,201309MOP,Biomedical Engineering,Microfluidic Separation of Circulating Tumor Cells,"$632,779 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; BLOOD; CANCER; BIOPHYSICS,4/1/2014,2018-03-31,0,"microfluidic, circulating tumor cells"
"Hansen, Carl L",University of British Columbia,British Columbia,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Microfluidic technology platform for selection of functional monoclonal antibodies with application to fibrosis,"$442,500 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,MULTIDISCIPLINARY; NOT CLASSIFIED,4/1/2015,2018-03-31,3,"microfluidic, monoclonal antibodies, fibrosis"
"Liu, Fei-Fei",University Health Network (Toronto),Ontario,Operating Grant - PA: Cancer Research (bridge funding),201009IC1,Cancer Progression & Therapeutics 2,MicroRNA and mRNA Expression Profiling to Predict Outcome and Characterize the Cervix Cancer Microenvironment,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Cancer Research,CANCER,3/1/2011,2012-02-29,0,"MicroRNA, mRNA, Cervix Cancer"
"Lesage, Frederic",Polytechnique Montreal,Quebec,Operating Grant,201303MOP,Medical Physics & Imaging,Microscopic underpinnings of brain oxygen delivery with aging.,"$554,138 ", $-   , $-   ,,5 yrs 0 mth ,Aging,AGING; ATHEROSCLEROSIS; BIOPHYSICS,10/1/2013,2018-09-30,0,"brain, oxygen, delivery"
"Baron, Corey A",Western University (Ontario),Ontario,Project Grant,202109PJT,Medical Physics & Imaging,Microstructural MRI in Temporal Lobe Epilepsy,"$581,400 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Biomedical Engineering-Biomedical Imaging; Neurosciences-Neurological disorders,4/1/2022,2027-03-31,0,"Microstructural MRI, Temporal Lobe Epilepsy"
"Kolios, Michael C",Toronto Metropolitan University,Ontario,Operating Grant,200903MOP,Medical Physics & Imaging,Mid to High frequency ultrasound imaging and spectroscopy for cancer treatment monitoring,"$427,592 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; MULTIDISCIPLINARY; BIOPHYSICS; IMAGING,10/1/2009,2012-09-30,9,"ultrasound, imaging, spectroscopy"
"Drake, James M",Hospital for Sick Children (Toronto),Ontario,Project Grant,202209PJT,Biomedical Engineering,Minimally Invasive Robotic Surgical Tools for In-utero Repair of Open Spina Bifida,"$397,800 ", $-   , $-   ,,4 yrs 0 mth ,"Human Development, Child and Youth Health","Biomedical Engineering-Biophysics, Medical Technologies and Instrumentation",4/1/2023,2027-03-31,0,"Robotic, Surgical, Spina Bifida"
"Messaddeq, Younes",Universite Laval,Quebec,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,"Minimally-invasive, wireless, multimodal micro-optrodes for brain sensing","$375,000 ", $-   , $-   ,,3 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",MENTAL AND BEHAVIOURAL DISEASES; MULTIPLE DISEASE RELEVANCE; MENTAL HEALTH; BIOPHYSICS,4/1/2015,2018-03-31,0,"micro-optrodes, brain sensing, wireless"
"Moorehead, Roger A",University of Guelph,Ontario,Operating Grant,201403MOP,Cancer Biology & Therapeutics,miRNA function in breast cancer,"$589,508 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,BREAST CANCER; BREAST CANCER THERAPY; CANCER; CELL BIOLOGY,7/1/2014,2019-06-30,0,"miRNA, breast cancer"
"Kelley, Shana O",University of Toronto,Ontario,Operating Grant,201109MOP,Cancer Progression & Therapeutics,Mitochondrial delivery of DNA-alkylating anticancer agents,"$514,560 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; LEUKAEMIAS; CANCER; GENETICS,4/1/2012,2016-03-31,0,"Mitochondrial, DNA-alkylating, anticancer"
"Fichtinger, Gabor","Queen's University (Kingston, Ontario)",Ontario,Collaborative Health Research Projects (NSERC partnered),201410CPG,Collaborative Health Research Projects - NSERC Partnered,Mobile Image Overlay System (MIOS) for Musculoskeletal Needle Placement Guidance,"$138,013 ", $-   , $-   ,,3 yrs 0 mth ,Musculoskeletal Health and Arthritis,"MUSCULO SKELETAL; CANCER THERAPY GENERAL; IMAGING; MUSCLE, BONE, OR JOINT",4/1/2015,2018-03-31,2,"Mobile, Image Overlay, Needle Placement"
"Yong, Voon W",University of Calgary,Alberta,Project Grant,201709PJT,Cancer Progression & Therapeutics 2,Mobilizing anti-tumor microglia/macrophages with niacin to improve the prognosis of glioblastoma: Bench to clinical trial and back.,"$1,243,125 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Neurosciences-Neuroinflammation; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",4/1/2018,2019-06-30,0,"microglia, glioblastoma, niacin"
"Dirks, Peter B",Hospital for Sick Children (Toronto),Ontario,Project Grant,201909PJT,Cancer Biology & Therapeutics 2,Modeling brain cancer in a regionally defined human neural stem cell system,"$956,250 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Mechanisms of Carcinogenesis; Cancer-Pediatric Cancer; Neurosciences-Neurodevelopment; cancer progression, pediatric cancer",4/1/2020,2025-03-31,1,"brain cancer, neural stem cells, modeling"
"Funnell, W. Robert J.",McGill University,Quebec,Project Grant,202303PJT,Biomedical Engineering,Modelling and machine learning for newborn hearing screening,"$876,690 ", $-   , $-   ,,5 yrs 0 mth ,"Human Development, Child and Youth Health","Neurosciences-Sensory Systems (including visual, auditory and pain); Methods Development and Modelling-Computational Biology; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics; Computational biology is here taken to include, for example, mathematical modelling of biomechanics",10/1/2023,2028-09-30,0,"modelling, machine learning, hearing screening"
"Burnier, Julia",Research Institute of the McGill University Health Centre,Quebec,Project Grant,202303PJT,Cancer Progression & Therapeutics,Modelling cancer cell-derived extracellular vesicles using synthetic nanoparticles,"$960,076 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Progression and Metastasis; Biomedical Engineering-Biomaterials, Nanotechnology and Biomechanics",10/1/2023,2028-09-30,0,"cancer, extracellular vesicles, nanoparticles"
"El Naqa, Issam M",Research Institute of the McGill University Health Centre,Quebec,Operating Grant,201103MOP,Medical Physics & Imaging,Modelling of Radiotherapy Induced Damage in Locally Advanced Lung Cancer by a Novel System Radiobiology Approach,"$678,951 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,LUNG CANCER THERAPY; LUNG CANCER; CANCER,10/1/2011,2016-09-30,0,"Radiotherapy, Lung Cancer, Radiobiology"
"Pelletier, Jerry M",McGill University,Quebec,Operating Grant,201003MOP,Cancer Progression & Therapeutics 2,Modelling Translation Inhibition as Cancer Therapy,"$797,054 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,NEOPLASMS; LEUKAEMIAS; CANCER; GENETICS,10/1/2010,2015-09-30,2,"Translation, Inhibition, Cancer"
"Graham, Simon J","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,202209PJT,Medical Physics & Imaging,"Modernizing Classic Tests of Cognition using Computerized Tablets, Eye-tracking and Functional Neuroimaging","$1,328,230 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction","Neurosciences-Cognition, Communication and Behaviour (including sleep and memory)",4/1/2023,2028-03-31,0,"Cognition, Eye-tracking, Neuroimaging"
"Kizhakkedathu, Jayachandran N",University of British Columbia,British Columbia,Operating Grant,200903MOP,Biomedical Engineering,Modular Design of Macromolecular Iron Chelator Structures for Chelation Therapy: Towards Effective Prevention of Primary and Transfusional Iron Overload,"$385,110 ", $-   , $-   ,,3 yrs 0 mth ,Circulatory and Respiratory Health,BLOOD,10/1/2009,2012-09-30,0,"Macromolecular, Iron, Chelator"
"Sefton, Michael V",University of Toronto,Ontario,Operating Grant,201103MOP,Biomedical Engineering,Modular Tissue Engineering for Islet Transplantation,"$346,262 ", $-   , $-   ,,3 yrs 0 mth ,"Nutrition, Metabolism and Diabetes",DIABETES MELLITUS; SKIN AND SUBCUTANEOUS TISSUS; METABOLISM/DIABETES; IMMUNOLOGY-TRANSPLANTATION,10/1/2011,2014-09-30,1,"Tissue engineering, Islet transplantation"
"Stefanovic, Bojana","Sunnybrook Research Institute (Toronto, Ontario)",Ontario,Project Grant,201709PJT,Medical Physics & Imaging,Modulating peri-ischemic neuronal hyperexcitability,"$918,000 ", $-   , $-   ,,5 yrs 0 mth ,"Neurosciences, Mental Health and Addiction",Biomedical Engineering-Biomedical Imaging,4/1/2018,2023-03-31,0,"peri-ischemic, neuronal, hyperexcitability"
"Saibil, Samuel D",University Health Network (Toronto),Ontario,Project Grant,202203PJT,Cancer Biology & Therapeutics,Modulating T cell metabolism to enhance the efficacy of adoptive cell therapy,"$516,376 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Cancer Drug Development and Therapeutics; Immunology and Infection-Transplantation, Immune Tolerance and Tumor Immunology",10/1/2022,2027-09-30,0,"T cell, metabolism, adoptive cell therapy"
"Sevigny, Jean",Universite Laval,Quebec,Operating Grant: Industry-partnered Collaborative Research - Rx&D partner,200909IRO,Industry Partnered Collaborative Research,Modulation de la pression arterielle par la NTPDase1 et les nucleotides extracellulaires,"$42,500 ", $-   , $-   ,,2 yrs 0 mth ,Circulatory and Respiratory Health,HYPERTENSION; CARDIOLOGY; CARDIOVASCULAR,4/1/2010,2012-03-31,0,"pressure, NTPDase1, nucleotides"
"Roger, Michel",Centre hospitalier de l'Universite de Montreal (CHUM),Quebec,Catalyst Grant: Innovation in HIV Vaccine and HIV Cure Research,201211CHR,HIV Vaccine and Cure Research,Modulation of BLyS levels to restore immune efficiency and reduce HIV targets.,"$100,000 ", $-   , $-   ,,1 yr 0 mth ,Infection and Immunity,AIDS; VIRAL; IMMUNOLOGY-TRANSPLANTATION; VIROLOGY,3/1/2013,2014-02-28,0,"BLyS, immune, HIV"
"Wurtele, Hugo",CIUSSS Est-de-l'Ile-de- Montreal-Maisonneuve Rosemont,Quebec,Project Grant,201709PJT,Cancer Biology & Therapeutics,Modulation of UV damage repair by replicative stress-induced RPA exhaustion during skin cancer development,"$791,775 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,"Cancer-Mechanisms of Carcinogenesis; Molecular, Cellular and Systems Biology-Molecular Biology; Genetics-Genomics, Transcriptomics and Proteomics",4/1/2018,2023-03-31,0,"UV damage, RPA exhaustion, skin cancer"
"Zemp, Roger J",University of Alberta,Alberta,Collaborative Health Research Projects (NSERC partnered),201310CPG,Collaborative Health Research Projects - NSERC Partnered,Modulation-Encoded Micromachined Transducer Arrays for Ultrasound and Photoacoustic Imaging of Prostate and Colorectal Cancer,"$274,000 ", $-   , $-   ,,3 yrs 0 mth ,Cancer Research,PROSTATE AND BLADDER CANCER; GASTRO-INTESTINAL CANCER; IMAGING; CANCER,4/1/2014,2017-03-31,9,"Micromachined, Transducer, Imaging"
"Jones, Steven","Simon Fraser University (Burnaby, B.C.)",British Columbia,Operating Grant,201503MOP,Cancer Progression & Therapeutics,Modulators of epigenomic processes - a novel approach to cancer therapy,"$560,420 ", $-   , $-   ,,4 yrs 0 mth ,Cancer Research,CANCER THERAPY GENERAL; CANCER; DRUG RESEARCH,7/1/2015,2019-06-30,0,"epigenomic, modulators, cancer"
"Paterson, Ian",University of Alberta,Alberta,Operating Grant: COVID-19 Rapid Research Funding Opportunity - Diagnostics,202005VR2,COVID-19 Rapid Research - Diagnostics,MOIST study: Multi-Organ Imaging with Serial Testing in COVID-19 infected patients,"$342,369 ", $-   , $-   ,,1 yr 0 mth ,Circulatory and Respiratory Health,VIRAL; CARDIOLOGY; CARDIOVASCULAR; RESPIRATION,6/1/2020,2021-05-31,0,"Multi-Organ, Imaging, COVID-19"
"Ramaswamy, Vijay",Hospital for Sick Children (Toronto),Ontario,Project Grant,201803PJT,Cancer Progression & Therapeutics 2,Molecular and Functional Characterization of Childhood Ependymoma,"$914,176 ", $-   , $-   ,,5 yrs 0 mth ,Cancer Research,Cancer-Pediatric Cancer; Cancer-Cancer Drug Development and Therapeutics; Cancer-Cancer Progression and Metastasis,10/1/2018,2023-09-30,0,"Molecular, Functional, Ependymoma"
