Name,Institution_Paid,Program_Name,Competition_CD,PRC_Name,Project_Title,CIHR_Contribution,CIHR_Equipment,Term_Years_Months
"Leyton, Marco",McGill University,Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Mapping Neural Function in Individuals with DCC Haplotype,"$590,325",$0,5 yrs 0 mth 
"Leyton, Marco; Castellanos Ryan, Natalie; Wazana, Ashley",McGill University,Project Grant,202010PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Prospective PET Study of High-Risk Youth,"$1,950,752",$0,8 yrs 0 mth 
"Lim, Andrew S","Sunnybrook Research Institute (Toronto, Ontario)",Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Identifying Genetic Determinants of Human Sleep and Circadian Rhythms,"$446,488",$0,4 yrs 0 mth 
"Mabbott, Donald J",Hospital for Sick Children (Toronto),Operating Grant,201203MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Examining the Relationship between White Matter Integrity and the Speed of Neuronal Processing in Children with Brain Tumours,"$640,915",$0,5 yrs 0 mth 
"Mabbott, Donald J",Hospital for Sick Children (Toronto),Operating Grant,201110MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Examining the Relationship between White Matter Integrity and the Speed of Neuronal Processing in Children with Brain Tumours,"$100,000",$0,1 yr 0 mth 
"Mackenzie, Ian R; Feldman, Howard",University of British Columbia,Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Clinical, Pathological, Genetic and Biomarker Studies of Frontotemporal Dementia","$1,615,914",$0,5 yrs 0 mth 
"Mahmoud, Sherif H",University of Alberta,Project Grant,202403PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Nimodipine Systemic Exposure and Outcomes Following Aneurysmal Subarachnoid Hemorrhage: A Prospective Multicenter Observational Study (ASH-II Study),"$722,926",$0,5 yrs 0 mth 
"Malykhin, Nikolai V",University of Alberta,Operating Grant,201009MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Structural alterations in the hippocampus in major depression: contributions of disease and treatment,"$522,778",$0,5 yrs 0 mth 
"Mamo, David C",Centre for Addiction and Mental Health (Toronto),Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,The Minimal Effective Dose of Antipsychotic Medication in Older Patients with Schizophrenia: A PET Study,"$284,515",$0,4 yrs 0 mth 
"Mansur, Rodrigo B",University Health Network (Toronto),Project Grant,202104PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Brain Insulin Sensitivity and Reward Behavior in Major Depressive Disorder,"$577,576",$0,5 yrs 0 mth 
"Marras, Connie; Duff Canning, Sarah J",University Health Network (Toronto),Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Predicting outcome in Parkinson's disease cognitive impairment,"$584,214",$0,4 yrs 0 mth 
"Marras, Connie",University Health Network (Toronto),Project Grant,201809PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Non-steroidal anti-inflammatory drugs and Parkinson's disease progression,"$75,000",$0,1 yr 6 mths 
"Martel, Marc Olivier",McGill University,Project Grant,201709PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Psychological and biological determinants of opioid craving among chronic pain patients prescribed opioid therapy,"$302,174",$0,3 yrs 0 mth 
"Martin, W.R. Wayne",University of Alberta,Operating Grant,200809MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Biomarkers of Disease Progression in Parkinsonism:  Magnetic Resonance Imaging and Spectroscopy,"$905,080",$0,5 yrs 0 mth 
"Masellis, Mario; Finger, Elizabeth","Sunnybrook Research Institute (Toronto, Ontario)",Operating Grant,201403MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Genetic Frontotemporal Dementia Initiative (GENFI) in Canada,"$932,818",$0,5 yrs 0 mth 
"Maziade, Michel G; Mérette, Chantal; Rouleau, Nancie; Roy, Marc-André",Université Laval,Operating Grant,200909MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,A multidimensional approach to vulnerability to schizophrenia and bipolar-depression: transgenerational genetic modeling of trajectories of cognitive deficits in kindreds affected by schizophrenia and bipolar-depression.,"$1,033,288",$0,5 yrs 0 mth 
"Maziade, Michel G; Hebert, Marc; Mérette, Chantal; Rouleau, Nancie; Roy, Marc-André",Université Laval,Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Developmental course of cognitive and electroretinographic precursors from childhood to adulthood in children and adolescents at risk of schizophrenia and bipolar disorder,"$789,145",$0,5 yrs 0 mth 
"Maziade, Michel G; Bureau, Alexandre; Chagnon, Yvon C; Mérette, Chantal; Roy, Marc-André",Université Laval,Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Genomic follow-up of the susceptibility loci for SZ and BP in multi-affected families of Eastern Quebec,"$799,993",$0,5 yrs 0 mth 
"Maziade, Michel G; Bureau, Alexandre; Girard, Simon",Université Laval,Project Grant,202010PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Exploring the role of rare genetic variations in the risk for schizophrenia and bipolar disorder in patients from multi-affected kindreds in the Quebec founder population,"$1,143,676",$0,4 yrs 0 mth 
"Maziade, Michel G",Université Laval,Project Grant,202109PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Altered retinal response as a neurobiological component of the risk trajectory and of the developmental pathophysiology of major psychiatric disorders,"$1,105,425",$0,5 yrs 0 mth 
"Mcgirr, Alexander",University of Calgary,Project Grant,202109PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Enhancing Repetitive Transcranial Magnetic Stimulation in Major Depression with Adjunctive D-Cycloserine.,"$952,425",$0,5 yrs 0 mth 
"Meaney, Michael J; Kennedy, James L; Seguin, Jean R",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,200809MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,The interaction of fetal development and genotype in determining neurocognitive development,"$861,655",$0,5 yrs 0 mth 
"Mechawar, Naguib",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201009MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Structural properties of glutamatergic neurons in major depression and suicide,"$533,930",$0,5 yrs 0 mth 
"Mechawar, Naguib",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202003PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Remodeling of cerebral plasticity by early-life adversity: cellular and molecular mechanisms in the human brain,"$612,000",$0,5 yrs 0 mth 
"Mechawar, Naguib",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,201709PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Examining the consequences of child abuse on cerebral myelination,"$745,875",$0,5 yrs 0 mth 
"Meier, Sandra M; Lingley-Pottie, Patricia; Oore, Sageev S; Orji, Rita O",Dalhousie University (Nova Scotia),Project Grant,202109PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,An AI-based mobile sensing approach to optimize clinical monitoring of anxiety among youth patients,"$470,476",$0,4 yrs 0 mth 
"Mérette, Chantal; Hebert, Marc",Université Laval,Operating Grant,201503MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Investigating electroretinography(ERG) as a new method for predicting conversion to psychosis in youth at clinical high risk.,"$605,911",$0,5 yrs 0 mth 
"Meyer, Jeffrey H",Centre for Addiction and Mental Health (Toronto),Operating Grant,201009MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neurochemical Aspects of Depression in Women: Monoamine Oxidase A During Perimenopause,"$388,308",$0,3 yrs 0 mth 
"Meyer, Jeffrey H",Centre for Addiction and Mental Health (Toronto),Operating Grant,201403MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Neuroinflammation in Major Depressive Disorder and Treatment Resistance,"$417,066",$0,3 yrs 0 mth 
"Meyer, Jeffrey H",Centre for Addiction and Mental Health (Toronto),Operating Grant,201303MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,PET Imaging Monoamine Oxidase-A in Borderline and Antisocial Personality Disorder,"$328,764",$0,3 yrs 0 mth 
"Meyer, Jeffrey H",Centre for Addiction and Mental Health (Toronto),Operating Grant,201203MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Season, Light Exposure and Serotonin Transporter Binding","$372,282",$0,3 yrs 0 mth 
"Meyer, Jeffrey H",Centre for Addiction and Mental Health (Toronto),Operating Grant,201110MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Season, Light Exposure and Serotonin Transporter Binding","$100,000",$0,1 yr 0 mth 
"Meyer, Jeffrey H",Centre for Addiction and Mental Health (Toronto),Project Grant,202309PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Imaging Generalized and Selective Markers of Presynaptic Density In Persistent Depression With/Without Other Neuropsychiatric Symptoms After COVID-19,"$1,407,600",$0,4 yrs 0 mth 
"Meyer, Jeffrey H",Centre for Addiction and Mental Health (Toronto),Project Grant,202409PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Imaging Presynaptic Density in Obsessive Compulsive Disorder With/Without Comorbid Major Depressive Disorder,"$1,055,700",$0,4 yrs 0 mth 
"Milloy, Michael-John S; Socías, María E",University of British Columbia,Project Grant,202003PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"Evaluating tetrahydrocannabinol as an adjunct to opioid agonist therapy for individuals living with opioid use disorder: A Phase II, placebo-controlled, blinded, pilot study to assess safety and feasibility","$279,224",$0,3 yrs 0 mth 
"Mishara, Brian L",Université du Québec à Montréal,Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Prévention des récidives des tentatives de suicide : étude des parcours de soins selon le genre,"$713,440",$0,5 yrs 0 mth 
"Mizrahi, Romina",Centre for Addiction and Mental Health (Toronto),Operating Grant,201303MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Stress-induced dopamine release in subjects at clinical high risk for psychosis: a [11C]-FLB457 PET study,"$551,243",$0,4 yrs 0 mth 
"Mizrahi, Romina",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202104PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Monoamine Oxidase B (MAO-B) in Schizophrenia and Cannabis use,"$1,097,776",$0,5 yrs 0 mth 
"Montplaisir, Jacques Y; Lanfranchi, Paola",CIUSSS du Nord-de-l'Ile-de Montréal - Hôpital Sacré Coeur,Operating Grant,201003MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Pathophysiology and treatment of restless legs syndrome,"$402,028",$0,4 yrs 0 mth 
"Mottron, Laurent",Université de Montréal,Operating Grant,201303MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Perception - language relationships in autism,"$669,353",$0,5 yrs 0 mth 
"Mueller, Daniel J",Centre for Addiction and Mental Health (Toronto),Operating Grant,201503MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Development, validation and benefits of a genetic risk model for antipsychotic-induced weight gain","$704,869",$0,5 yrs 0 mth 
"Mueller, Daniel J; Reimand, Jüri",Centre for Addiction and Mental Health (Toronto),Project Grant,201909PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Predicting antidepressant remission in late-life depression using polygenic risk scoring and machine learning models,"$887,400",$0,5 yrs 0 mth 
"Mueller, Daniel J; Kloiber, Stefan M",Centre for Addiction and Mental Health (Toronto),Project Grant,202403PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Predicting risk for treatment-resistant depression using pharmacogenomic-based modeling,"$1,013,626",$0,5 yrs 0 mth 
"Mulsant, Benoit H",Centre for Addiction and Mental Health (Toronto),Operating Grant,200903MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Longitudinal Study of Cognition in Older Adults with Bipolar Disorder,"$470,483",$0,4 yrs 0 mth 
"Nikolova, Yuliya S; Quilty, Lena C; Vieira, Erica L",Centre for Addiction and Mental Health (Toronto),Project Grant,202409PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,"Novel markers of risk for age-related neurodegeneration, senescence, and cognitive decline in adults with substance use disorders","$1,181,924",$0,4 yrs 0 mth 
"Northoff, Georg F",University of Ottawa,Operating Grant,201103MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Neural and biochemical correlates of resting state activity and emotional processing in major depressive disorder - Multimodal imaging (fMRI, MRS and PET) during gaba- and glutamat-ergic intervention","$681,270",$0,5 yrs 0 mth 
"Nunes, Abraham J; Blier, Pierre; Farzan, Faranak; Frey, Benicio N; Harkness, Kate L; Kennedy, Sidney H; Lam, Raymond W; Milev, Roumen V; Mueller, Daniel J; Pavlova, Barbara; Quilty, Lena C; Rosenblat, Joshua D; Soares, Claudio D; Taylor, Valerie Hannah; Uher, Rudolf",Nova Scotia Health Authority (Halifax),Project Grant,202309PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Scalable Biomarkers And Time-Series Microsignatures Of Relapse In Major Depressive Disorder,"$1,018,426",$0,5 yrs 0 mth 
"Orban, Pierre",CIUSSS de l'Est-de-l'lle-de-Montréal-Santé Mentale,Project Grant,201903PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Brain connectivity-based optimization of non-invasive brain stimulation to improve cognitive symptoms in schizophrenia,"$562,276",$0,5 yrs 0 mth 
"Ortiz, Abigail",Centre for Addiction and Mental Health (Toronto),Project Grant,202010PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Identifying patient-specific behaviors to understand illness trajectories and to predict relapses in bipolar disorder using passive sensing and pattern recognition,"$566,100",$0,4 yrs 0 mth 
"Owen, Adrian M",Western University (Ontario),Operating Grant,201303MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Using neuroimaging to assess cognitive function after serious brain injury,"$1,031,710",$0,5 yrs 0 mth 
"Palaniyappan, Lena K; Achim, Amélie M",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Project Grant,202403PJT,Behavioural Sciences - B: Clinical Behavioural Sciences,Predicting Psychotic Relapse using Speech-based Early-detection,"$1,201,050",$0,5 yrs 0 mth 
"Peretz, Isabelle S",Université de Montréal,Operating Grant,201309MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Brain and genetic basis of musical pitch disorders,"$525,005",$0,5 yrs 0 mth 
"Petronis, Arturas",Centre for Addiction and Mental Health (Toronto),Operating Grant,201309MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Epigenomics of major depressive disorder: dissecting environmental, heritable, and stochastic contributions","$1,191,865",$0,5 yrs 0 mth 
"Petronis, Arturas",Centre for Addiction and Mental Health (Toronto),Operating Grant,201109MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,Epigenomics of Schizophrenia,"$1,876,137",$0,5 yrs 0 mth 
"Pruessner, Jens C",CIUSSS de l'Ouest-de-l'Ile-de-Montréal-Douglas Hospital,Operating Grant,201209MOP,Behavioural Sciences - B: Clinical Behavioural Sciences,"Systematic Investigations into psychological, physiological and endocrinological effects of stress in the brain","$290,928",$0,3 yrs 0 mth 
